No;Nama Organisasi;;Profil Organisasi;Alamat Organisasi;"Kontak Lembaga/
Kontak Layanan";Email Lembaga;Layanan Yang Diberikan;
47;Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk Keadilan (LBH APIK) Semarang;;"LBH APIK Semarang memberikan bantuan hukum bagi perempuan dan anak yang mengalami kekerasan berbasis gender di Wilayah Provinsi Jawa Tengah, khususnya di Kota Semarang. LBH APIK Semarang didirikan pada tanggal 30 Juni 2004 di Kota Semarang untuk mengisi ruang kosong dimana dalam struktur yang timpang dan masyarakat miskin menjadi korban. Berdasarkan nilai-nilai keadilan, kerakyatan, persamaan, kemandirian emansipasi, persaudaraan, keadilan sosial, non sektarian dan menolak kekerasan serta memenuhi kaidah-kaidah kelestarian lingkungan.
 
LBH APIK Semarang menyediakan konsultasi dan layanan bantuan hukum bagi korban dan penyintas kekerasan berbasis gender, dan bisa mengarahkan korban kepada rumah aman jika dibutuhkan.";Jalan Poncowolo Timur I, No. 409A, RT 001, RW 006, Pendrikan Lor, Semarang Tengah, Kota Semarang, Jawa Tengah;";0243510499
;0821 2411 7070";apiksemarang@yahoo.com;";Mediasi
;Konsultasi hukum
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi
;Konseling dengan psikolog Pendampingan hukum (Litigasi)
;Rumah aman";
48;Rumah Harapan GMIT;;"Rumah Harapan GMIT sejak berdirinya pada 25 Februari 2018, melakukan advokasi pendampingan dan juga upaya pencegahan kekerasan berbasis gender dan Perdagangan orang kepada semua lapisan masyarakat dan jemaat. Penerima manfaat dari layanan Rumah Harapan GMIT meliputi hampir semua wilayah di Nusa Tenggara Timur, bahkan beberapa pendampingan melibatkan WNA yang menjadi korban kekerasan. Rumah Harapan GMIT lahir dengan visi dan misi untuk mewujudkan masyarakat yang terbebas dari segala bentuk kekerasan. Aspek pencegahan dan penanganan menyentuh masyarakat dan jemaat di akar rumput sehingga semua masyarakat menerima manfaat dari pelayanan Rumah Harapan GMIT. 
Terhitung sejak berdirinya Rumah Harapan GMIT, sudah 726 masyarakat yang mendapatkan pelayanan Rumah Harapan GMIT. Diantaranya mereka yang menjadi korban Kekerasan Berbasis Gender, Perdagangan Orang dan juga Pekerja Migran Indonesia (PMI) asal NTT yang dipulangkan dalam bentuk jenasah. Dalam pelayanannya, Rumah Harapan GMIT selalu mengacu pada prinsip-prinsip pendampingan sesuai dengan Standar Operasional Prosedur (SOP) Rumah Harapan GMIT. Dalam pelaksanaannya, prinsip yang dianut oleh Rumah Harapan GMIT adalah prinsip universal, yaitu antara lain:  menjunjung tinggi hak asasi manusia, non diskriminasi, kerahasiaan, pemberdayaan korban, dan hak atas informasi.
Sepanjang tahun 2022, sebanyak 121 kasus kekerasan berbasis gender dan perdagangan orang serta 83 kasus penerimaan jenasah PMI yang diterima dan didampingi oleh Rumah Harapan GMIT.
Adapun pemberian layanan holistik  Rumah Harapan GMIT meliputi layanan Rumah Aman (shelter), litigasi dan non litigasi, hukum, psikologi, pastoral rohani, kesehatan, terapi kerja, reintegrasi, dan konsultasi";Jalan Tom Tauselak No 31, Oebufu, Oebobo, Kota Kupang, Nusa Tenggara Timur;";+628113831100";rumaharapangmit@gmail.com;";Mediasi
;Pendampingan hukum (Litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Konsultasi hukum
;Layanan medis
;Rumah aman
;Reintegrasi dan Memfasilitasi Penjemputan Jenasah Pekerja Migran Indonesia yang meniggal di negara penempatan";
49;ALIANSI PEREMPUAN MERANGIN (APM);;Aliansi Perempuan Merangin (APM) adalah sebuah organisasi perempuan berbentuk perkumpulan yang berdiri pada tanggal 1 Januari 2003 dengan akte Pendirian No 58 di Notaries Sri Hermawati, SH pada tanggal 17 April 2003 dan telah mengalami perubahan dengan Notaris Solihin, SH no 2 pada tanggal  2 Januari 2015.Terdaftar di Bakesbang-Pol Kab.Merangin  no 220/XI/10/155/IV/2015 dan Bakesbang-Pol Propinsi Jambi  no 220/1458/Bakesbang-Pol/XI/2017, serta pengesahan dari Kemenkumham nomor AHU-0003260.AH.01.07,Tahun 2019. APM melaksanakan programnya  dengan cara mengembangkan kemampuan organisasi berbasis masyarakat pada berbagai tingkatan. Anggota APM adalah kumpulan perempuan pedesaan melalui kelompok yang disebut Community Center (CC) yang mempunyai komitmen pada penegakan hak-hak perempuan dan kesetaraan gender dalam mewujudkan otonominya.Aliansi Perempuan Merangin (APM) adalah sebuah organisasi perempuan berbentuk perkumpulan yang berdiri pada tanggal 1 Januari 2003 dengan akte Pendirian No 58 di Notaries Sri Hermawati, SH pada tanggal 17 April 2003 dan telah mengalami perubahan dengan Notaris Solihin, SH no 2 pada tanggal  2 Januari 2015.Terdaftar di Bakesbang-Pol Kab.Merangin  no 220/XI/10/155/IV/2015 dan Bakesbang-Pol Propinsi Jambi  no 220/1458/Bakesbang-Pol/XI/2017, serta pengesahan dari Kemenkumham nomor AHU-0003260.AH.01.07,Tahun 2019. APM melaksanakan programnya dengan cara mengembangkan kemampuan organisasi berbasis masyarakat pada berbagai tingkatan. Anggota APM adalah kumpulan perempuan pedesaan melalui kelompok yang disebut Community Center (CC) yang mempunyai komitmen pada penegakan hak-hak perempuan dan kesetaraan gender dalam mewujudkan otonominya.;Dsn Marga Mulya/I, Pulau Tuju, Pamenang Barat, Merangin, Jambi;-;aliansiperempuan@ymail.com;";Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi";
50;Women's Crisis Center Kabupaten Nganjuk;;Women's Crisis Center (WCC) Kabupaten Nganjuk merupakan lembaga layanan perlindungan perempuan dan anak di Kabupaten Nganjuk yang bergerak di bidang pendampingan, konseling, advokasi, edukasi, sosialisasi, dan rehabilitasi serta bantuan hukum untuk korban maupun Anak yang Berhadapan dengan Hukum (ABH).;Jalan Kapten Tendean Nomor 14, Payaman, Nganjuk, Jawa Timur;";081232943467";wccnganjuk@gmail.com;";Mediasi
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas";
51;LPPA Bina Annisa;;Lembaga Pendampingan Perempuan dan Anak (LPPA) Bina Annisa merupakan salah satu organisasi bantuan hukum yang terakreditasi A dari Kementerian Hukum dan HAM yang berorientasi dalam pendampingan, perlindungan, serta pemenuhan hak untuk perempuan dan anak. LPPA Bina Annisa berdomisili di Kota Mojokerto, Prov. Jawa Timur. Program dan kegiatan yang dilakukan oleh LPPA Bina Annisa meliputi pendampingan di Bidang Litigasi dan Non-Litigasi.;Perumahan Gatoel Jl. Jawa No. 78, Kranggan, Kota Mojokerto, Jawa Timur;";0811200415";lppabinaannisa@gmail.com;";Mediasi
;Pendampingan hukum (Litigasi)
;Konsultasi hukum";
52;Yayasan Pusat Pendidikan dan Pemberdayaan Unduk Perempuan dan Anak (PUPA);;"Pada tanggal 25 Juli 2011 di Bengkulu, berdirilah sebuah Yayasan PUPA (Pusat Pendidikan Untuk Perempuan dan Anak). PUPA adalah lembaga yang berbasis relawan. Saat ini relawan PUPA hampir mencapai 40 orang, mulai dari pelajar SLTP, SLTA, Mahasiswa, Ibu Rumah Tangga dan tenaga profesional lainnya.
PUPA lahir didasarkan keprihatin banyaknya angka kekerasan terhadap perempuan, lemahnya akses anak-anak dan perempuan pada perlindungan hukum, kemiskinan pada perempuan yang melahirkan anak-anak yang miskin dan terpinggirkan dari akses pendidikan, kesehatan dan perlindungan. Akses ekonomi terbatas dan mahal untuk perempuan. Informasi dan layanan Kesehatan reproduksi yang masih sangat jauh dari jangkauan perempuan dan anak. Sistem Pendidikan yang tidak ramah pada anak dan remaja yang menyebabkan frustasi dan ketakutan, kekerasan di sekolah, pornografi dan perilaku seksual yang bebas dan berdampak pada Kehamilan yang tidak dikehendaki (KTD) dan aborsi yang tidak aman).
Akses informasi, konsultasi dan bantuan hukum sangat dibutuhkan oleh perempua dan anak untuk memastikan terpenuhi hak-hak mereka. Pada awalnya Yayasan PUPA hanya memberikan informasi, konsultasi psikologis dan informasi layanan hukum. Untuk bantuan hukum dirujuk ke LBH. Namun sejak 2014, Yayasan PUPA memyediakan bantuan hukum bagi perempuan dan anak.
Kurun waktu empat tahun berdiri, PUPA telah membangun kelompok remaja untuk melakukan informasi dan pusat konseling remaja (PIKR PUPA). Hasil kerja keras kelompok remaja ini dalam memberikan informasi terkait kesehatan reproduksi, Napza, dan pencegahan kekerasan terhadap perempuan dan anak telah mendapatkan penghargaan dari Pemda Propinsi Bengkulu dan BKKBN sebagai PIKR terbaik kedua di kelompok Tumbuh Tingkat Propinsi Bengkulu Tahun 2013.
Selain itu dari aspek Pendidikan. Yayasan PUPA telah menyelenggarakan layanan Pendidikan Keaksaraan dan kesetaraan meliputi Paket A, Paket B dan Paket C, serta pendidikan lain yang ditujukan untuk mengembangkan kemampuan perempuan dan anak terutama ABH di rumah belajar PKBM PUPA.
PKBM PUPA fokus menyelenggarakan kegiatan pembelajaran (learning activities), bidang kegiatan usaha ekonomi produktif (business activities) dan bidang kegiatan pengembangan diri perempuan dan anak agar memiliki bekal pengetahuan, keterampilan, kecakapan hidup, dan sikap untuk mengembangkan diri, mengembangkan profesi, bekerja, usaha mandiri, dan/atau melanjutkan pendidikan ke jenjang yang lebih tinggi.
Dari sisi advokasi, Yayasan PUPA telah mendorong Pemda Provinsi Bengkulu dan Kota Bengkulu untuk melahirkan kebijakan-kebijakan yang pro terhadap Perempuan dan Anak. Saat ini Perda Perlindungan Perempuan dan Anak di Kota Bengkulu telah selesai di bahas dan disahkan. Yayasan PUPA juga telah berhasil mendorong P2TP2A Kota Bengkulu, membuka Hotline pengaduan bagi korban.
Upaya pendidikan publik untuk pencegahan kekerasan terhadap perempuan dan anak dilakukan Yayasan PUPA melalui sosialisasi dengan berbagai media massa dan elektronik. Kemudian bekerjasama dengan INFIGHT telah membuat modul dan tools “Self Defense for Women” untuk guru-guru olahraga. Tools ini memberikan ketrampilan kepada murid-murid mereka agar dapat mengenali situasi yang mengancam, menghindar dan melakukan pertahanan diri bila diserang pelaku kejahatan. Selain itu melakukan diskusi reguler di tingkat komunitas baik sekolah maupun kelompok-kelompok perempuan di Propinsi Bengkulu mengenai hak asasi perempuan, kekerasan terhadap perempuan, gender, kesehatan reproduksi dll
VISI
“Perempuan dan anak berdaya dan terlindungi dari diskriminasi dan segala bentuk kekerasan berbasis gender.”
MISI
•          Membangun kesadaran masyarakat terhadap pemenuhan Hak Anak dan Hak Perempuan
•          Mendorong penghapusan segala bentuk kekerasan terhadap perempuan dan anak termasuk perdagangan (trafficking), bentuk eksploitasi dan praktek-praktek yang membahayakan kehidupan perempuan dan anak.
•          Mendekatkan akses sumber daya untuk penguatan perempuan dan anak terutama dalam bidang pendidikan, ekonomi dan perlindungan hukum
•          Membangun sistem perlindungan perempuan dan anak di Bengkulu 
POKOK-POKOK PROGRAM
•          Pengelolaan Pengetahuan dan Pendidikan Kritis 
•          Kampanye Publik 
•          Layanan (Pengaduan,Pendampingan Pemberdyaan), Kegiatan Belajar Masyarakat, Bantuan Hukum
•          Advokasi Kebijakan
NILAI -NILAI
•          Anti Kekerasan
Menolak segala bentuk tindakan kekerasan yang menghancurkan harkat dan martabat manusia terutama perempuan dan anak yang berdampak pada kehidupannya di masa depan.
 
•          Anti Diskriminasi
Menolak segala bentuk tindakan perbedaan atas dasar jenis kelamin, agama, suku, ras, orientasi seksual dan atas dasar lainnya.
 
•          Berkeadilan Gender
Perlakuan yang sama kepada perempuan dan laki-laki dalam pembagian peran, fungsi, posisi, tugas, tanggungjawab dan kesempatan.
 
•          Independen
Bebas dari pengaruh dari kepentingan politik, modal, pemerintah dan partai politik dalam mengambil keputusan.
 
•          Transparan dan Akuntabilitas
Terbuka terhadap setiap pendapat dan gagasan-gagasan baru dan pengelolaan keuangan yang bertanggungjawab dalam membangun proses-proses kesepakatan dan pengambilan keputusan yang mengedepankan kepentingan dan pencapaian cita-cita bersama.
•          Solidaritas
Membangun kebersamaan untuk mencapai tujuan bersama.
•          Demokratis
Pengambilan keputusan yang mengutamakan pelibatan semua pihak dalam organisasi maupun kerja-kerja dalam penghapusan kekerasan terhadap perempuan dan anak.
•          Kerelawanan
Semangat untuk memberikan waktu, pikiran dan donasi yang dilandasi nilai-nilai keikhlasan untuk mencapai tujuan organisasi yang telah disepakati.
•          WeSIS (Well Being, Self-Care and Integrated Security) 
Menjunjung tinggi pada kesadaran diri (mindfulness) secara penuh yang dilakukan melalui lima sikap dasar : attention, non-judgement, acceptance, letting go, and presence. Nilai ini juga menekankan terhadap kesejahteraan diri dan kesejahteraan orang lain baik secara fisik, mental, relasi sosial, spiritual, dan emosional.";Jalan Kesehatan No 06, Kelurahan Anggut Bawah, Ratu Samban, Kota Bengkulu, Bengkulu;";0736 23344
;081279801434";yayasanpupa.bkl@gmail.com;";Pemberdayaan Ekonomi
;Konseling dengan psikolog
;Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas";
53;Divisi Perempuan TRUK;;Divisi Perempuan TRUK didirikan pada tgl 6 November 1997 oleh biarawan biarawati SVD dan SSpS untuk menanggapi sejumlah persoalan pelanggaran HAM di Sikka. Organisasi ini terdiri dari tiga Divisi yakni divisi Perempuan, divisi advokasi dan divisi pendidikan. Sejak saat itu yg menjadi koordinator dari divisi Perempuan adalah Sr Eustochia SSpS. Hingga saat ini Divisi Perempuan yg masih berkembang dg visi besarnya adalah memberdayakan perempuan untuk memperjuangkan hak haknya.;Jln. Ahmad Yani. No. 30, Nangameting, Alok Timur, Sikka, Nusa Tenggara Timur;";081237849185";divptruk97@gmail.com;";Konsultasi hukum
;Pendampingan hukum (Litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Layanan medis
;Rumah aman
;Mediasi";
54;Libu Perempuan;;"Bekerja untuk penguatan hak hak perempuan, berlokasi di Sulteng. Berdiri sejak tahun 2019. Libu perempuan.Lingkar Belajar Untuk Perempuan ( LiBu Perempuan) didirikan di Palu pada tahun 1999. Embrio LiBu Perempuan  berasal dari kelompok diskusi  perempuan yang peduli dan sangat serius menggeluti isu-isu perlindungan perempuan dan anak. Kelompok diskusi ini terdiri dari aktifis NGO (Non Government Organisation), akademisi, serta komunitas-komunitas perempuan yang berasal dari Petani dan Masyarakat adat. Kelompok ini berasal dari orang-orang yang dilatari dengan pengalaman yang berbeda, umumnya telah berpengalaman sebagai pekerja sosial  dan telah lama aktif dalam memperjuangkan hak-hak perempuan dan anak di komunitasnya masing-masing termasuk aktivitas membangun perdamaian. Libu Perempuan percaya bahwa daya juang, potensi dan keunikan pergerakan perempuan mampu menjadi energy yang sangat kuat untuk membangun perdamaian jangka panjang. 
Sejak berdirinya, organisasi ini telah banyak melakukan kerja-kerja pendampingan, riset, diskusi-diskusi penguatan baik ditingkat komunitas (grassroots) maupun di tataran akademisi dan Pemda untuk berkoordinasi dan berkolaborasi untuk tujuan bersama. 
Awalnya Libu Perempuan bernama Lingkar Peduli perempuan Samporoa atau LPPS, namun dalam perjalanannya kemudian, tepatnya pada bulan Mei tahun 2006, melalui rapat antara badan pelaksana dan badan pengurus Organisasi sebagai wujud evaluasi dan refleksi atas kinerja lembaga, kelompok ini resmi berganti nama menjadi Lingkar Belajar Untuk Perempuan (LiBu Perempuan). Perubahan nama antara lain didasarkan pada semangat pluralitas dan subtansi dari gerakan perempuan dan perlindungan anak yang sedang dibangun. LiBu Perempuan mendasarkan diri pada situasi ketidakadilan dan penindasan yang mungkin dialami oleh kelompok rentan. Libu Perempuan telah terdaftar di Kemenkum HAM RI, pada tanggal 5 Maret 2014 dengan nomor AHU – 100.AH.01.07. Tahun 2014.";Jln Dirgantara nomor 8E dan F, Birobuli Utara, Palu Selatan, Kota Palu, Sulawesi Tengah;";082248941610";libuperempuan@yahoo.com;";Mediasi
;Konsultasi hukum
;Konseling dengan psikolog
;Pendampingan hukum (Litigasi)
;Konseling dengan konselor komunitas
;Rumah aman";
55;Yayasan Lembaga Bantuan Hukum Keadilan Banten;;Yayaysan Lembaga Bantuan Hukum Keadilan Banten (LBH Keadilan) merupakan lembaga yang bertujuan memperjuangkan hak persamaan dalam hukum (equality before the law) bagi masyarakat miskin, termarjinalkan dan buta hukum dalam mengakses keadilan. LBH Keadilan melakukan pemberian bantuan hukum bagi pencari keadilan, khususnya pencari keadilan yang miskin, termarjinalkan dan buta hukum, mempromosikan nilai-nilai kesetaraan, keadilan, dan hak asasi manusia, melakukan studi dan advokasi kebijakan publik.;Jl. Vila Dago AB-22, Benda Baru, Pamulang, Tangerang Selatan, Banten;";0217434111
;08113920111";mail@lbh-keadilan.org;";Konsultasi hukum
;Mediasi
;Pendampingan Hukum";
56;Rifka Annisa;;Rifka Annisa adalah lembaga swadaya masyarakat yang bergerak dalam isu pendampingan perempuan dan anak korban kekerasan. Rifka Annisa mengorganisir perempuan secara khusus dan masyarakat secara umum untuk menghapuskan kekerasan terhadap perempuan dan menciptakan masyarakat yang adil gender melalui pemberdayaan perempuan korban kekerasan, termasuk di dalamnya anak-anak, lanjut usia, dan difabel, meningkatkan kesadaran dan partisipasi masyarakat melalui pendidikan kritis dan penguatan jaringan.;Jl. Jambon IV No. 69A, Kricak, Tegalrejo, Kota Yogyakarta, Derah Istimewa Yogyakarta;";0274553333
;085799057765";rifka@rifka-annisa.org;";Mediasi
;Pendampingan hukum (Litigasi)
;Rumah aman
;Konseling dengan psikolog
;Konsultasi hukum";
57;DIFAA Prakarsa Perempuan Untuk Kesetaraan dan Keadilan Sosial;;"DIFAA berdiri pada tahun 2005 di Madiun, Konsentrasi awal pada issu HIV Aids, Perempuan rentan dan Difable.
Pendampingan di beberapa komunitas Perempuan pekerja seks dan Difable telah dilakukan, seiring waktu berjalan DIFAA mendampingi Penyintas Korban Kekerasan namun sebatas konseling dan merujuk korban.
Selain itu juga mendampingi pemberdayaan ekonomi pada Perempuan rentan dan masyarakat miskin";Jl Raya Dungus, Banjarsari Kulon, Dagangan, Madiun, Jawa Timur;";082132063627";imroatulmufasirin@gmail.com;";Konsultasi hukum
;Pemberdayaan Ekonomi
;Konseling dengan konselor komunitas";
58;Yayasan SAPA;;"Yayasan SAPA adalah sebuah learning organization non-profit dan independent yang bergerak dari semangat voluntarian/kerelawanan, terdiri dari orang-orang muda yang berfokus pada hak asasi perempuan; bahwa masyarakat yang adil gender adalah suatu kondisi ideal yang menjadi harapan, dimana peran dan fungsi laki-laki dan perempuan dalam seluruh sektor kehidupan, dibangun dan ditempatkan dalam nilai-nilai kesepahaman dan kesadaran untuk menjunjung tinggi nilai-nilai kemanusiaan, kesetaraan dan anti kekerasan.";Jl. Ebah RT.01 RW.03 Desa Cipaku, Kecamatan Paseh, Kabupaten Bandung, Jawa Barat;";    (022) 84224439
;    +62 813-9497-9037";office@yayasansapa.id;";Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Konsultasi hukum
;Mediasi";
59;YAYASAN HARAPAN IBU PAPUA;;"Yayasan Harapan Ibu Papua Menjalankan misi kemanusiaan demi kesejahteraan Papua.YHI.P dilegalisasi melalui Ak te Notaris No.1 tanggal 3 September 2001, . Dan di perbaharui dengan Akte Notaris No.15 tanggal 21 Mei 2014 dan disahkan dengan Keputusan Menteri Hukum dan HAM Republik Indonesia Nomor AHU-01775.50.2014.
Bergerak Melayani Masyarakt dengan 2 Bidang Yaitu : Bidang Kesehatan (Kespro dan HIV) dan Non Kesehatan ( Tata Kelola Pelayanan Publik Pencegahan Kekerasan Terhadap Perempuan, Tata Kelola Sampah, Gender & HAM
Mengurangi & Mencegah Kekerasan Berbasis Gender. (KBG) dalam keluarga dan komunitas serta memperkuat partisipasi masyarakat melalui kelompok peduli KBG
Memperkuat Jejaring Perempuan dalam menyusun dan mendokumentasikan Laporan CEDAW Papua";Gang Bisoka Ib No.83 Kotaraja Dalam, Vim Kotaraja, Abepura, Kota Jayapura, Papua;";0967 - 585638 
;082248268790";harapanibu@yahoo.com;";Pelayanan Non Litigasi";
60;LBH APIK BALI;;"Nama Lembaga Organisasi : Lembaga Bantuan Hukum Asosiasi Perempuan Indonesia untuk Keadilan Bali (LBH APIK Bali)
•Akte Pendirian Notaris : No. 17; Notaris
    I MADE WINATA,SH. Tgl 20 Mei 2009
 
•Visi :
1.Terciptanya sistem hukum yang adil gender, yang tercermin dalam relasi kuasa baik dalam relasi personal, keluarga, masyarakat dan negara.
 
2.Menguatnya gerakan perempuan sebagai bagian dari   gerakan masyarakat sipil dalam pemberdayaan hukum dan perubahan hukum   yang lebih adil gender. Misi :
 
1.Melakukan pendampingan, pembelaan dan bantuan hukum bagi perempuan yang mengalami ketidak adilan gender.
2.Melakukan advokasi untuk perubahan undang – undang dan kebijakan baik yang berkaitan dengan subtansi hukum struktur maupun budaya hukum serta perubahan prilaku dan praktik-praktik di dalam masyarakat.
3.Melakukan pengembangan sumber daya hukum masyarakat, serta ikut mewujudkan akses terhadap keadilan bagi perempuan dan masyarakat miskin.
4.Membangun dan memperkuat jaringan kerja dengan berbagai organisasi non pemerintah dan pemerintah.
5.Mendorong terbentuknya lembaga-lembaga pengadaan pelayanan di Provinsi Bali. 7.Memperkuat kapasitas kelembagaan di Tingkat Sekretariat LBH APIK-Bali.
8.Memberikan penyuluhan hukum, pelatihan, pemberdayaan masyarakat, perubahan hukum yang berkeadilan gender, sumber daya hukum kepada masyarakat dan aparat penegak hukum baik dalam penanganan korban maupun upaya pencegahan.
9.Melakukan kajian kritis dengan perspektif gender dan hak asasi manusia terhadap berbagai undang-undang, kebijakan dan peraturan lainnya serta melakukan penyusunan, pembuatan, penyebarluasan serta pendokumentasian berbagai informasi tentang kasus-kasus yang ditangani.
10.Melakukan kegiatan-kegiatan lainnya yang sah dan tidak bertentangan dengan asas, visi, misi dan nilai-nilai dasar LBH APIK-Bali dan Asosiasi LBH APIK-Indonesia";Jl. Trengguli No. 85, Penatih, Denpasar Timur, Denpasar, Bali;";081999982064";apik.bali@yahoo.com;";Pendampingan hukum (Litigasi)
;Konsultasi hukum
;Mediasi";
61;LBH APIK SULAWESI SELATAN;;LBH APIK Sulsel adalah organisasi yang bertujuan mewujudkan masyarakat adil, makmur dan demokratis, serta menciptakan kondisi yang setara antara perempuan dan laki-laki dalam segala aspek kehidupan baik politik, ekonomi, sosial maupun budaya. Tujuan ini hendaknya dicapai dengan mewujudkan system hukum yang berperspektif perempuan yaitu system hukum yang adil dipandang dari pola hubungan kekuasaan dalam masyarakat, khususnya hubungan perempuan – laki-laki dengan terus-menerus berupaya menghapuskan ketidakadilan, dalam bentuk marginalisasi (peminggiran secara ekonomi), subordinasi (peminggiran dalam hubungan kekuasaan, stereotype (pembakuan peran), kekerasan secara fisik, mental atau seksual dan beban berlebih pada satu pihak.;Jl. Perintis Kemerdekaan Km. 14 (Perumahan Bukit Khatulistiwa) Blok M.18, Berua, Biringkanaya, Makasar, Sulawesi Selatan;";0411-8993033
;08115863444";lbh_apikmks@yahoo.co.id;";Konsultasi hukum
;Pendampingan hukum (Litigasi)";
62;Yayasan lambuina;;Yayasan lambuina berdiri pada tahun 2008, lambuina didirikan karena kasus2 kekerasan terhdap perempuan di Sultra khususnya muna banyak namun tidak ada lembaga layanan yg dapat diakses oleh korban, melihat kondisi tsb 4 org aktifis di Muna mendirikan lembaga layanan dan menyediakan layanan psikososial dan bantuan hukum utk korban kekerasan, aktifitas kemudian berkembang pada kegiatan kampanye advokasi dan pengorganisasian sosial utk pembentukan layanan berbasis komunitas;Jl. Paelangkuta, Raha III, Katobu, Muna, Sulawesi Tenggara;";    +62 822-1491-1912";yayasan.lambuina@gmail.com;";Pendampingan hukum (Litigasi)
;Rumah aman
;Konsultasi hukum
;Konseling dengan konselor komunitas
;Pemberdayaan Ekonomi
;Rujukan";
63;yayasan LAPPAN (Lingkar Pemberdayaan Perempuan dan Anak) Maluku;;Yayasan LAPPAN (Lingkaran Pemberdayaan Perempuan dan Anak) adalah organisasi  non profit yang bekerja di Maluku untuk memperjuangkan HAM perempuan. LAPPAN berawal dari keprihatinan atas terjadinya konflik di Ambon pada Agustus 1999. Pada masa itu, sekelompok relawan yang terdiri dari mahasiswa dan masyarakat berinisiatif mengadakan kegiatan penguatan perdamaian di masyarakat yang diintegrasi dengan penguatan perempuan korban.;KH Hasyim Asyari, Batumerah, Sirimau, Ambon, Maluku;";    081289340778";lappan.maluku@gmail.com;";layanan Hukum
;Layanan konseling/pemulihan
;Pemberdayaan Ekonomi
;Layanan rujukan 
;Layanan reintegrasi social";
64;Yayasan Cahaya Perempuan WCC;;Cahaya Perempuan Women’s Crisis Center (CPWCC) berdiri pada 25 November 1999 dari gagasan sekelompok perempuan Bengkulu. Organisasi ini merupakan pengembangan dari divisi perempuan dan anak Youth Centre Centra Citra Remaja Rafflesia (Youth Center CCRR) - Perkumpulan Keluarga Berencana Indonesia Daerah Bengkulu (PKBI Daerah Bengkulu) yang diawali dari kegiatan konseling remaja. CPWCC memfokuskan diri dalam membantu perempuan dan anak korban tindak kekerasan berbasis gender melalui penyediaan layanan yang berpihak pada hak-hak korban terutama hak kebenaran, keadilan, dan pemulihan dengan tujuan memberikan layanan terintegrasi bagi perempuan korban kekerasan, pendidikan seks yang komprehensif dan mendorong dikeluarkannya kebijakan terkait pemenuhan dan perlindungan hak-hak perempuan korban Kekerasan berbasi gender dan pelanggaran Hak Kesehatan Seksual Reproduksi (HKSR) bagi perempuan di tingkat lokal dan nasional. CPWCC berbadan hukum yayasan yang berbasis di Kota Bengkulu, Provinsi Bengkulu tercatat dalam Akta Notaris Nomor 89 tanggal 29 Juni 2004 dan Akta Perubahan Nomor 25 tanggal 24 Januari 2014 dibuat oleh Notaris Meilani Liman, SH, berkedudukan di Kota Bengkulu, disahkan oleh Menteri Hukum dan Hak Asasi Manusia Republik Indonesia pada tanggal 21 Februari 2015 dengan Nomor: AHU-1127.AH.01.04 Tahun 2014 berdasarkan Undang-Undang Nomor 63 tahun 2008  tentang  perubahan  atas  undang-undang 28 Tahun 2004 tentang perubahan atas Undang-Undang Nomor 16 Tahun 2001 tentang Yayasan dan Undang-Undang 16 tahun 2017 tentang Penetapan Perppu 2 Tahun 2017 tentang Perubahan atas Undang-Undang 17 tahun 2013 tentang Organisasi Kemasyarakatan.;Jln. Indragiri 1 No. 3, Padang Harapan, Gading Cempaka, Kota Bengkulu, Bengkulu;";    +62 736 348186 
;     0823 0673 8686";cp.wccbengkulu@gmail.com;";Konsultasi hukum
;Pendampingan hukum (litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Rumah aman
;Evakuasi
;Mediasi
;Pemberdayaan ekonomi";
65;Yayasan JaRI;;Visi, Misi JaRI adalah membantu para perempuan dan anak korban kekeraan. Mengedukasi Masyarakat khususnya perempuan untuk mandiri, memberikan penyuluhan pada anak2, guru dan orang tua  tentang sex education.  Bentuk bantuan  yang diberikan oleh Yayasan JaRI adalah pelayanan pendampingan psikologis  terhadap korban kekerasan dan pendampingan hukum.;Jln. Sukajadi, Cipedes, Sukajadi, Jawa Barat;";08562161430";jarirelawanindependen@yahoo.com;";Konsultasi hukum
;Pendampingan hukum (litigasi)
;Konseling dengan psikolog
;Konseling dengan konselor komunitas
;Rumah aman
;Evakuasi
;Layanan medis
;Mediasi
;Pemberdayaan ekonomi";
